id,entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,imagen_2,imagen_3,imagen_4,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,beneficiarios,mano_obra,compromiso,destacada,ba_elige,link_interno,pliego_descarga,expediente-numero,estudio_ambiental_descarga,financiamiento
11,Villa Olímpica,Villa Olímpica: Viviendas VI,Finalizada,Vivienda,Ministerio de Desarrollo Urbano y Transporte,La licitación Nº 6 comprende 3 edificios de los que se destinarán 11.700m2 a vivienda y 430m2 a locales comerciales.,160833300,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,15/02/2016,30/08/2017,18,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%2812%29.png,,,,Criba S.A.,2015,Licitación Pública,450/2015,30505454436,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/191,EX-2015-03683859- -MGEYA-DGPUYA,,
12,Villa Olímpica,Villa Olímpica: Viviendas VII,Finalizada,Vivienda,Ministerio de Desarrollo Urbano y Transporte,La licitación Nº 7 comprende la construcción de aproximadamente 9.900m2 para vivienda y 250m2 que serán destinados a locales comerciales.,123691183,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,25/02/2016,31/10/2017,20,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%282%29.JPG,,,,Cunumi S.A,2015,Licitación Pública,449/2015,30615748036,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/192,7.482.410-MGEYA-DGPUYA-2015,,
13,Villa Olímpica,Villa Olímpica: Viviendas VIII,Finalizada,Vivienda,Ministerio de Desarrollo Urbano y Transporte,La licitación Nº 8 comprende 4 edificios destinados a los juegos olímpicos. Se construirán aproximadamente 12.900m2 para vivienda y 410m2 que serán destinados a locales comerciales.,174609630,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,15/02/2016,15/11/2017,21,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%283%29.JPG,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%289%29.png,,,Constructora Sudamericana S.A.,2015,Licitación Pública,528/2015,30610895456,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/195,7.483.365-MGEYA-DGPUYA-2015,,
14,Villa Olímpica,Villa Olímpica: Viviendas X,Finalizada,Vivienda,Ministerio de Desarrollo Urbano y Transporte,La licitación Nº 10 completa el grupo de licitaciones de viviendas para los Juegos Olímpicos que posteriormente darán respuesta habitacional. Comprende 2 edificios destinados a los juegos olímpicos. Se construirán aproximadamente 7.000m2 para vivienda y ademaá 130m2 que serán destinados a locales comerciales.,98174265,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,28/04/2016,31/12/2017,20,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%283%29.JPG,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%289%29.png,,,Vidogar Construcciones S.A,2015,Licitación Pública,573/2015,30553433564,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/197,12.808.238-MGEYA-DGPUYA-2015,,
16,Villa Olímpica,Villa Olímpica: Viviendas I,Finalizada,Vivienda,Ministerio de Desarrollo Urbano y Transporte,La licitación Nº 1 contempla la construcción de 3 edificios de uso mixto. Se destinarán aproximadamente 12.400m2 al uso de vivienda y 160m2 serán destinados a locales comerciales.,154853715,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,01/06/2015,20/12/2017,30,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt/Villa_Olimpica_1.jpg,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/Villa_olimpica%20%286%29.png,,,Cavcon S.A.,2015,Licitación Pública,1876/2014,33707292259,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/182,15282589-DGPUYA/2D14,,
17,Parque Olímpico,"Parque Olímpico: Demolición total, extracción y trasplante de árboles, cerco perimetral",Finalizada,Espacio Público,Ministerio de Desarrollo Urbano y Transporte,"Construcción del cerco olímpico perimetral para delimitar el área de intervención, resguardando la ejecución de los trabajos y funcionando como cerco definitivo una vez terminada las obras. Incluye también las tareas de demolición de los edificios y equipamientos obsoletos existentes y la extracción y trasplante de los árboles y arbustos dentro del mismo predio.",48590604,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,28/12/2016,30/03/2017,3,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto1.jpg,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto2.jpg,https://www.youtube.com/watch?v=1THOam0NOqc,,Salvatori S.A Parques Y Jardines,2016,Licitación Pública,880-SIGAF/16,30512700124,,,,SI,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/235,20515970-DGIURB-2016,,
18,Parque Olímpico,"Parque Olímpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,"Obras de infraestructura de las nuevas redes internas de agua potable, desagües cloacales, desagües pluviales y red de gas,para los pabellones y equipamientos deportivos del Parque Olímpico.",42340809,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,30/01/2017,16/04/2018,15,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/iconos_infraestructura.jpg,https://cdn2.buenosaires.gob.ar/baobras/mduyt2/villa_Olímpica%20%287%29.png,,,Tecma S.A.,2016,Licitación Pública,1032-SIGAF/16,30623866528,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/243,20.669.375-DGIURB-2016,,
19,Parque Olímpico,Parque Olímpico: Pabellones A1 Y A2.,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,Obra de los pabellones para albergar los diferentes equipamientos deportivos.,194988604,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,15/02/2017,31/12/2017,10,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_pabellona1ya2_foto1.jpg,,,,Constructora Sudamericana S.A.,2016,Licitación Pública,1192-SIGAF/16,30610895456,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/252,2016-24004377-MGEYA-DGIURB,,
20,Parque Olímpico,Parque Olímpico: Pabellones A3 Y A4.,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,Los pabellones incluyen la infraestructura deportiva para los Juegos Olímpicos.,168646366,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,15/02/2017,12/01/2018,11,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_pabellona3ya4_foto1.jpg,,,,Criba S.A.,2016,Licitación Pública,1191-SIGAF/16,30505454436,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/253,EX-2016-24004750-MGEYA-DGIURB,,
21,Parque Olímpico,"Parque Olímpico: Espacio público, equipamiento deportivo exterior",Finalizada,Espacio Público,Ministerio de Desarrollo Urbano y Transporte,"La licitación propone reacondicionar y modernizar el espacio público y las áreas deportivas al aire libre que incluyen: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Además, contempla la puesta en valor del pórtico de acceso al parque olímpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque para acondicionarla e incluirla al sistema de protección contra incendios.",349706395,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,07/06/2017,30/10/2018,16,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/parqueolimpicoedificiosadministrativosypatinodromo.jpg,,,,Conorvial S.A,2017,Licitación Pública,266/2017,33504596309,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/271,27359314-DGIURB-2016,,
22,Parque Olímpico,Parque Olímpico: Pabellón C.,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,"El pabellón C comprende la ejecución del complejo natatorio, que incluye una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, como sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores.",508091151,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,25/04/2017,30/06/2018,14,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_pabellonc_foto1.jpg,,,,Niro Construcciones S.A.,2017,Licitación Pública,36/ 2017,33588171979,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/257,EX-2016- 25.688.941–MGEYA-DGIURB,,
24,Villa Olímpica,Villa Olímpica: Red de agua y cloacas,Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,"Obras de infraestructura complementaria al predio de Villa Olímpica, de redes de agua potable y desagües cloacales.",35787390,8,Villa Riachuelo,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y SUAREZ, JOSE LEON",-34.6896258303977,-58.4776224849345,01/09/2016,01/11/2017,14,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/reddeaguaycloacasdevillaolimpica.jpg,,,,Reconstruccion De Caños S.A.,2016,Licitación Pública,81/2015,30677790977,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/208,32.904.638-DGINFU-2015,,
25,Villa Olímpica,Villa Olímpica: Infraestructura electrica,Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,Realización de la infraestructura eléctrica necesaria para las instalaciones en la Villa Olímpica.,54936733,8,Villa Riachuelo,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y SUAREZ, JOSE LEON",-34.6896258303977,-58.4776224849345,03/01/2017,03/01/2018,12,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/infraestructuraelectricavillaolimpica.jpg,,,,Urban Baires S.A.,2016,Licitación Pública,912-SIGAF/2016,30711290075,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/238,19178451-UPEVO/2016,,
26,Villa Olímpica,Villa Olímpica: Estacion reguladora y distribucion de gas,Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,Realización de la infraestructura necesaria para el abastecimiento de la red de distribución de gas en media presión dentro de la villa olímpica y la conexión al gasoducto existente de alta presión. La instalación se realizara sobre la Av. Escalada para garantizar la correcta distribución de gas a todos los edificios e instalaciones que comprenda el predio.,15242432,8,Villa Soldati,ESCALADA AV. 4214,-34.6728993035658,-58.4585042701709,09/01/2016,30/06/2017,17,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio134.jpg,,,,Ucsa S.A.,2016,Licitación Pública,981-Sigaf/2016,30711492395,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/241,15.648.285-UPEVO/2016,,
27,Parque Olímpico,Parque Olímpico: Pabellón B.,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,"La obra aborda la construcción del pabellón que albergara la competencia de gimnasia artística y cuenta a su vez, con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logística, enfermería y doping.",283389377,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,05/08/2017,30/06/2018,10,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_pabellonb_foto1.jpg,,,,Criba S.A.,2017,Licitación Pública,35 /17,30505454436,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/258,24.005.383-DGIURB-2016,,
28,Parque Olímpico,Parque Olímpico: Infraestructura eléctrica.,Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,"La licitación prevé el reacondicionamiento y modernización de las instalaciones existentes en el Parque Olímpico y la ejecución de la nueva red para la distribución de energía en los futuros pabellones y edificios administrativos. La obra incluirá una sub estación de entrada de energía, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios.",54936733,8,Villa Soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,-34.6738968676041,-58.4360597511207,13/02/2017,30/05/2018,15,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/parqueolimpicoinfraestructuraelectrica.JPG,,,,Urban Baires S.A.,2016,Licitación Pública,1035-SIGAF/16,30711290075,,,,,,https://www.buenosaires.gob.ar/baobras/Parque-Olímpico,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/242,EX-2016- 20669799-DGIURB,,
30,Villa Olímpica,Villa Olímpica: Centro de Desarrollo Infantil Rayito de Sol,Finalizada,Escuelas,Ministerio de Desarrollo Urbano y Transporte,"El nuevo jardín maternal está emplazado en la urbanización de la Villa Olímpica lindante al hospital Cecilia Grierson, formando un polo con infraestructura educativa y de contención en una localización de fácil acceso.",48500000,8,Villa Lugano,ESCALADA AV. 4501,-34.6781149929409,-58.4530260976062,02/01/2017,15/11/2017,10,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt/Centro_de_Desarrollo_Infantil_Rayito_de_Sol_1.jpg,https://cdn2.buenosaires.gob.ar/baobras/mduyt/Centro_de_Desarrollo_Infantil_Rayito_de_Sol_2.jpg,,,Cunumi S.A,2016,Licitación Pública,893-SIGAF/16,30615748036,,43,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/237,19.105.199-DGIURB-2016,,
31,Villa Olímpica,Villa Olímpica: Red vial y pluvial,Finalizada,Hidráulica e Infraestructura,Ministerio de Desarrollo Urbano y Transporte,Proyecto de la red pluvial de captación y conducción de los excedentes pluviales de la zona de implantación de los edificios de vivienda de la comuna 8. La red proyectada se conectará en distintos puntos al ramal escalada.,86226253,8,Villa Soldati,ESCALADA AV. 4218,-34.6732416929548,-58.4585438979202,02/05/2016,31/01/2018,20,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_villaolimpica_redvialypluvial_foto1.png,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_villaolimpica_redvialypluvial_foto1.png,,,Ucsa S.A.,2015,Licitación Pública,1258/2015,30711492395,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/203,16.293.099-MGEYA-DGINFU-2014,,
